#OTU ID	ERR688806	ERR1368497	ERR1368479	ERR1368500	ERR1368491	ERR1368508	ERR576948	ERR1368492	ERR1368510	ERR1368507	ERR1368514	ERR1368502	ERR1368496	ERR1368498	ERR1368517	ERR1368493	ERR1368511	ERR1368485	ERR1368482	SZ.SC3	ERR1368495	ERR1368487	ERR1368504	SZ.SC5	ERR1368518	ERR1368499	ERR1368488	ERR1368489	ERR1368494	ERR1368503	ERR1368516	ERR1368481	ERR1368512	ERR297073	ERR1368501	ERR1368490	ERR1368484	ERR297087	ERR297081	ERR297096	ERR297089	ERR297077	ERR297093	ERR1368513	ERR1368486	ERR1368505	ERR1368506	ERR1368483	SZ.SC6	ERR1368480	ERR1368509	ERR297106	ERR1368515	SZ.SC4	SZ.SC7	SRR824289	SRR824298	ERR297107	ERR297079	SZ.SC2	SZ.SC1	ERR297067	ERR297086	ERR297101	ERR297080	SRR824296	SRR824286	ERR989664	ERR989660	ERR989663	ERR989667	ERR989662	ERR989658	ERR989659	ERR989657	ERR989666	ERR989661	ERR989665	ERR989668	SRR824294
NR_025567.1_{Clostridium}_bolteae_strain_16351_16S_ribosomal_RNA_gene__partial_sequence	1	3	1	0	1	2	111	10	2	0	1	4	8	4	1	8	1	4	1	14	3	2	3	9	4	1	3	0	14	5	3	0	0	0	2	2	10	0	0	0	0	0	0	1	3	2	1	7	0	4	0	0	0	17	2	0	0	0	0	14	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NR_025525.1_Butyrivibrio_hungatei_strain_JK_615_16S_ribosomal_RNA_gene__partial_sequence	2	76	43	60	233	72	1011	260	102	72	92	32	115	189	53	131	71	106	30	0	123	113	169	0	138	37	73	129	253	61	94	42	99	0	30	84	129	0	0	0	0	0	0	50	121	87	98	64	0	46	53	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	1	8	0	0	4	2	2	1	0
NR_024993.1_{Clostridium}_fimetarium_strain_Z-2189_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	4	0	1	67	0	2	0	0	0	2	0	0	0	0	0	0	2	3	0	0	2	0	0	1	0	1	0	0	1	1	0	0	2	2	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	2	13	25	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	2	0
NR_024750.1_Coprococcus_catus_strain_VPI-C6-61_16S_ribosomal_RNA_gene__partial_sequence	0	1	4	26	9	7	1	11	17	6	8	8	5	3	1	6	11	3	12	0	2	12	17	0	10	8	5	4	8	6	3	4	9	0	4	1	10	0	0	0	0	0	0	1	15	2	2	18	0	5	0	0	10	14	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024709.1_Pseudomonas_hibiscicola_strain_ATCC_19867_16S_ribosomal_RNA_gene__partial_sequence	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024661.1_Eubacterium_ruminantium_strain_GA195_16S_ribosomal_RNA_gene__partial_sequence	1	78	30	71	51	13	62	23	37	13	15	35	36	50	16	31	23	41	22	12	58	17	13	61	29	23	11	30	50	16	28	38	16	0	14	23	14	0	0	2	0	0	0	4	33	15	3	11	0	17	34	0	10	21	11	0	0	0	0	2	0	0	0	0	0	0	0	4	8	3	2	12	2	5	4	12	2	5	13	0
NR_024642.1_Lelliottia_amnigena_strain_JCM1237_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024641.1_Pluralibacter_gergoviae_strain_JCM1234_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	9	2	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024659.1_Streptococcus_peroris_strain_ATCC_700780_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	3	0	0	0	1	0	14	4	5	0	0	0	0	0	0	0	0	0	0	0	0	16
NR_024644.1_Serratia_rubidaea_strain_JCM1240_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
