#OTU ID	ERR688806	ERR1368497	ERR1368479	ERR1368500	ERR1368491	ERR1368508	ERR576948	ERR1368492	ERR1368510	ERR1368507	ERR1368514	ERR1368502	ERR1368496	ERR1368498	ERR1368517	ERR1368493	ERR1368511	ERR1368485	ERR1368482	SZ.SC3	ERR1368495	ERR1368487	ERR1368504	SZ.SC5	ERR1368518	ERR1368499	ERR1368488	ERR1368489	ERR1368494	ERR1368503	ERR1368516	ERR1368481	ERR1368512	ERR297073	ERR1368501	ERR1368490	ERR1368484	ERR297087	ERR297081	ERR297096	ERR297089	ERR297077	ERR297093	ERR1368513	ERR1368486	ERR1368505	ERR1368506	ERR1368483	SZ.SC6	ERR1368480	ERR1368509	ERR297106	ERR1368515	SZ.SC4	SZ.SC7	SRR824289	SRR824298	ERR297107	ERR297079	SZ.SC2	SZ.SC1	ERR297067	ERR297086	ERR297101	ERR297080	SRR824296	SRR824286	ERR989664	ERR989660	ERR989663	ERR989667	ERR989662	ERR989658	ERR989659	ERR989657	ERR989666	ERR989661	ERR989665	ERR989668	SRR824294
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	7	122	118	155	271	170	2992	330	135	224	145	94	204	218	176	198	139	157	97	61	152	210	168	38	183	122	119	233	252	249	117	131	88	3	50	128	204	0	0	3	0	3	0	84	142	145	206	131	4	130	113	0	229	209	126	0	0	0	1	461	182	4	0	0	1	0	0	5	0	0	0	1	1	1	1	1	1	1	1	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella ruminicola	0	7291	4466	4395	6204	6831	194	4282	5404	10878	6275	2421	6257	9465	5803	11438	9341	1671	1229	4	6804	1998	3039	18	6096	8726	2570	4533	8547	6477	5354	2348	6499	0	2842	2113	2413	0	0	0	0	0	0	5905	3015	2473	13892	1680	2	2307	4193	0	3858	49	59	0	0	0	0	293	0	0	0	0	0	0	0	14	16	8	8	24	3	3	18	23	6	27	10	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	23	8785	6712	11808	8974	9251	1109	6952	11151	9945	7822	8376	8866	7950	7401	9564	9967	4632	1865	9	10312	4116	7011	215	7186	8957	3403	5630	9533	5796	10827	3956	11292	0	3656	2966	3569	0	0	8	0	0	0	8784	3239	3214	11103	3733	5	5278	8653	0	7158	485	1111	21	173	0	2	8174	280	2	2	0	0	222	65	391	480	330	297	647	290	356	232	352	292	325	495	173
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter millerae	0	111	258	276	30	65	1	26	11	18	16	292	396	251	219	15	71	111	124	0	263	21	47	2	806	188	209	46	46	37	407	529	1	0	321	37	41	0	0	0	0	0	0	9	42	59	45	112	3	342	14	0	194	0	66	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0	5	14	22	3	11	1	2	4	2	14	5	9	7	4	1	24	10	5	9	12	8	21	1	8	24	9	5	4	12	14	12	3	0	2	7	11	0	0	0	0	0	0	3	3	32	55	21	0	5	7	0	6	1	2	0	0	0	0	5	18	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium flexile	0	0	27	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	8	0	0	0	0	1	0	0	0	0	0	28	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter boviskoreani;t__Methanobrevibacter boviskoreani JH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter boviskoreani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
