#OTU ID	SZ.SC4	C31	C25	C28	R6-dup	C24	F38	SZ.SC6	C19	SZ.SC7	C26	F41	F42	F37	SZ.SC5	F44	F51	C22	F40	F53	R16	C33	F45	C35	R2	F47	F49	R18	C29	SZ.SC3	C36	F50	R6	F48	C34	F54	SZ.SC2	C21	C23	SZ.SC1	R15	F39	R8	R17	R14	R13	C27	C32	F46	C30	R1	R10	R3	R5	C20	R11	F52	F43	R12	R4	R7
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	32281	0	11	0	0	0	0	10247	0	10731	1	0	0	0	15306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8524	1	0	0	0	0	0	7471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia	0	223	334	1	0	192	52	0	520	0	50	99	97	86	0	44	65	59	23	158	0	7	32	129	0	75	149	0	213	0	86	138	0	76	4	97	0	31	48	0	0	10	0	0	0	0	118	147	0	70	0	0	0	0	39	0	33	37	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	5	39	47	0	0	15	33	55	153	42	9	1	12	17	7	53	2	116	0	64	31	0	5	112	0	24	49	1	41	16	33	14	0	16	1	32	288	1	0	3	0	3	15	8	0	0	2	33	4	19	0	0	0	0	3	0	1	4	6	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinomadura	0	0	0	0	1	3	4	0	4	0	0	1	2	3	0	2	0	7	3	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	2	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Nocardiopsaceae;g__Thermobifida	0	0	0	0	1	1	2	0	0	0	0	1	1	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	11	0	0	0	0	0	0	5	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	34	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	5	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter boviskoreani;t__Methanobrevibacter boviskoreani JH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
