#SampleID	BarcodeSequence	LinkerPrimerSequence	BodysiteSpeciesSpecific	Lifestyle	CaptiveWild	AgeClass	BodysiteSpecies	MonthCollection	Alive_or_Deceased_as_of_091814	Bodysite	DateCollection	TargetSubfragment	CaptiveWildSpeciesV2	PrimateOther	CaptiveWildSpeciesV1	Week	SpeciesScientificName	AnimalID_name	AnimalID	Period	Sex	PopulationGeneralAnonymous	SpeciesCommonName	PopulationGeneral	CaptivityIndex	AnimalID_#	Treatment	Description
F41			Cow Rumen APSC	Data not collected	Data not collected	Data not collected	Cow Feces	Data not collected	Data not collected	Feces	Data not collected	GS FLX Titanium (V1-V3)	Data not collected	Other	Data not collected	wk4	Data not collected	5Pepsi	41PepFecalwk41AP	1	Data not collected	Data not collected	Cow	Data not collected	Data not collected	Data not collected	APSC	Microbiome and ruminal acidosis in cattle
R4			Cow Rumen APSC	Data not collected	Data not collected	Data not collected	Cow Rumen	Data not collected	Data not collected	Rumen	Data not collected	GS FLX Titanium (V1-V3)	Data not collected	Other	Data not collected	wk4	Data not collected	4Gilly	04GilRumenwk41AP	1	Data not collected	Data not collected	Cow	Data not collected	Data not collected	Data not collected	APSC	Microbiome and ruminal acidosis in cattle
F43			Cow Rumen APSC	Data not collected	Data not collected	Data not collected	Cow Feces	Data not collected	Data not collected	Feces	Data not collected	GS FLX Titanium (V1-V3)	Data not collected	Other	Data not collected	wk8	Data not collected	1Poppy	43PopFecalwk82AP	2	Data not collected	Data not collected	Cow	Data not collected	Data not collected	Data not collected	APSC	Microbiome and ruminal acidosis in cattle
F42			Cow Rumen Control	Data not collected	Data not collected	Data not collected	Cow Feces	Data not collected	Data not collected	Feces	Data not collected	GS FLX Titanium (V1-V3)	Data not collected	Other	Data not collected	wk4	Data not collected	6Unity	42UniFecalwk41CK	1	Data not collected	Data not collected	Cow	Data not collected	Data not collected	Data not collected	Control	Microbiome and ruminal acidosis in cattle
F45			Cow Rumen APSC	Data not collected	Data not collected	Data not collected	Cow Feces	Data not collected	Data not collected	Feces	Data not collected	GS FLX Titanium (V1-V3)	Data not collected	Other	Data not collected	wk8	Data not collected	3Hope	45HopFecalwk82AP	2	Data not collected	Data not collected	Cow	Data not collected	Data not collected	Data not collected	APSC	Microbiome and ruminal acidosis in cattle
F44			Cow Rumen GBSC	Data not collected	Data not collected	Data not collected	Cow Feces	Data not collected	Data not collected	Feces	Data not collected	GS FLX Titanium (V1-V3)	Data not collected	Other	Data not collected	wk8	Data not collected	2Mia	44MiaFecalwk82GP	2	Data not collected	Data not collected	Cow	Data not collected	Data not collected	Data not collected	GBSC	Microbiome and ruminal acidosis in cattle
F47			Cow Rumen Control	Data not collected	Data not collected	Data not collected	Cow Feces	Data not collected	Data not collected	Feces	Data not collected	GS FLX Titanium (V1-V3)	Data not collected	Other	Data not collected	wk8	Data not collected	5Pepsi	47PepFecalwk82CK	2	Data not collected	Data not collected	Cow	Data not collected	Data not collected	Data not collected	Control	Microbiome and ruminal acidosis in cattle
R5			Cow Rumen APSC	Data not collected	Data not collected	Data not collected	Cow Rumen	Data not collected	Data not collected	Rumen	Data not collected	GS FLX Titanium (V1-V3)	Data not collected	Other	Data not collected	wk4	Data not collected	5Pepsi	05PepRumenwk41AP	1	Data not collected	Data not collected	Cow	Data not collected	Data not collected	Data not collected	APSC	Microbiome and ruminal acidosis in cattle
F49			Cow Rumen Control	Data not collected	Data not collected	Data not collected	Cow Feces	Data not collected	Data not collected	Feces	Data not collected	GS FLX Titanium (V1-V3)	Data not collected	Other	Data not collected	wk12	Data not collected	1Poppy	49PopFecalwk123CK	3	Data not collected	Data not collected	Cow	Data not collected	Data not collected	Data not collected	Control	Microbiome and ruminal acidosis in cattle
F48			Cow Rumen GBSC	Data not collected	Data not collected	Data not collected	Cow Feces	Data not collected	Data not collected	Feces	Data not collected	GS FLX Titanium (V1-V3)	Data not collected	Other	Data not collected	wk8	Data not collected	6Unity	48UniFecalwk82GP	2	Data not collected	Data not collected	Cow	Data not collected	Data not collected	Data not collected	GBSC	Microbiome and ruminal acidosis in cattle
