	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6	SZMB12	SZMB7	SZMB6	SZMB5	SZMB9	SZMB10
SZ.SC4	0.0	0.725588434842	0.797109710067	0.705896181053	0.823847259479	0.828988395641	0.991540354181	0.976428086979	0.992721583091	0.989108686235	0.995155914586	0.9964838663
SZ.SC7	0.725588434842	0.0	0.745563446057	0.571298128139	0.813181007726	0.935096121048	0.989081279283	0.964894676652	0.972772793657	0.973841937895	0.989175090647	0.979978493126
SZ.SC5	0.797109710067	0.745563446057	0.0	0.711209034105	0.934213542383	0.38533776868	0.993733910116	0.973414837302	0.992135502786	0.988810767926	0.994564263191	0.995208460736
SZ.SC2	0.705896181053	0.571298128139	0.711209034105	0.0	0.810449307671	0.857914916447	0.982942695209	0.956780240784	0.968061172182	0.971904995446	0.983240826728	0.981522067993
SZ.SC1	0.823847259479	0.813181007726	0.934213542383	0.810449307671	0.0	0.97317658282	0.993866942991	0.969264928409	0.985742817637	0.97988735712	0.993127735496	0.990450106598
SZ.SC6	0.828988395641	0.935096121048	0.38533776868	0.857914916447	0.97317658282	0.0	0.998834490749	0.983855039407	0.998277878449	0.997454020368	0.999078370923	0.998765587773
SZMB12	0.991540354181	0.989081279283	0.993733910116	0.982942695209	0.993866942991	0.998834490749	0.0	0.627821356656	0.650670532252	0.676024918864	0.687299368731	0.704537210806
SZMB7	0.976428086979	0.964894676652	0.973414837302	0.956780240784	0.969264928409	0.983855039407	0.627821356656	0.0	0.635653070118	0.64652524771	0.691422418615	0.62763915547
SZMB6	0.992721583091	0.972772793657	0.992135502786	0.968061172182	0.985742817637	0.998277878449	0.650670532252	0.635653070118	0.0	0.385186305098	0.673957076214	0.584473994374
SZMB5	0.989108686235	0.973841937895	0.988810767926	0.971904995446	0.97988735712	0.997454020368	0.676024918864	0.64652524771	0.385186305098	0.0	0.665159376802	0.561018986847
SZMB9	0.995155914586	0.989175090647	0.994564263191	0.983240826728	0.993127735496	0.999078370923	0.687299368731	0.691422418615	0.673957076214	0.665159376802	0.0	0.691056672761
SZMB10	0.9964838663	0.979978493126	0.995208460736	0.981522067993	0.990450106598	0.998765587773	0.704537210806	0.62763915547	0.584473994374	0.561018986847	0.691056672761	0.0
