	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6	SZMB12	SZMB7	SZMB6	SZMB5	SZMB9	SZMB10
SZ.SC4	0.0	0.569458979723	0.543220135056	0.591267084506	0.591933001853	0.614344739648	0.819009964531	0.812361382172	0.810024225789	0.803498109334	0.797142210535	0.807712324474
SZ.SC7	0.569458979723	0.0	0.589500810279	0.527987443101	0.625800164556	0.671954108525	0.769225075409	0.769540552562	0.758174985531	0.733490359549	0.747026859224	0.74286022581
SZ.SC5	0.543220135056	0.589500810279	0.0	0.570337071348	0.645032037015	0.533523405565	0.825172428639	0.816025447745	0.813943888953	0.797830021738	0.802246013316	0.806085412842
SZ.SC2	0.591267084506	0.527987443101	0.570337071348	0.0	0.625761692605	0.683729181311	0.765725994697	0.758756405401	0.736909399655	0.727616805291	0.743263219229	0.747189587078
SZ.SC1	0.591933001853	0.625800164556	0.645032037015	0.625761692605	0.0	0.710898746066	0.786540266584	0.770890267845	0.773799216401	0.748467390453	0.760639572326	0.767132259934
SZ.SC6	0.614344739648	0.671954108525	0.533523405565	0.683729181311	0.710898746066	0.0	0.866876242753	0.862433040973	0.871248092429	0.857868325539	0.847220416644	0.85244280014
SZMB12	0.819009964531	0.769225075409	0.825172428639	0.765725994697	0.786540266584	0.866876242753	0.0	0.450465166076	0.483440566038	0.481917740063	0.469264575656	0.507512810367
SZMB7	0.812361382172	0.769540552562	0.816025447745	0.758756405401	0.770890267845	0.862433040973	0.450465166076	0.0	0.489045847323	0.495043739281	0.508562922733	0.508795209672
SZMB6	0.810024225789	0.758174985531	0.813943888953	0.736909399655	0.773799216401	0.871248092429	0.483440566038	0.489045847323	0.0	0.388101770405	0.492287969099	0.50800854816
SZMB5	0.803498109334	0.733490359549	0.797830021738	0.727616805291	0.748467390453	0.857868325539	0.481917740063	0.495043739281	0.388101770405	0.0	0.481667108307	0.492644863499
SZMB9	0.797142210535	0.747026859224	0.802246013316	0.743263219229	0.760639572326	0.847220416644	0.469264575656	0.508562922733	0.492287969099	0.481667108307	0.0	0.517407715646
SZMB10	0.807712324474	0.74286022581	0.806085412842	0.747189587078	0.767132259934	0.85244280014	0.507512810367	0.508795209672	0.50800854816	0.492644863499	0.517407715646	0.0
