	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6	SZMB12	SZMB7	SZMB6	SZMB5	SZMB9	SZMB10
SZ.SC4	0.0	0.32686542253	0.260615325467	0.41277491009	0.633747534858	0.290676575875	0.598031716937	0.554315736513	0.591562892975	0.625893984423	0.607793517441	0.638844826319
SZ.SC7	0.32686542253	0.0	0.527705257767	0.260993244849	0.512046792459	0.569873446384	0.45315844066	0.432843604872	0.45500849898	0.516725946406	0.469774374225	0.496473769463
SZ.SC5	0.260615325467	0.527705257767	0.0	0.569906443017	0.813515743461	0.10160641526	0.730812804587	0.684464262484	0.72072438637	0.754581442006	0.737681196221	0.766464115524
SZ.SC2	0.41277491009	0.260993244849	0.569906443017	0.0	0.440783622468	0.612480736363	0.545726780826	0.562020680993	0.573028974715	0.642519006902	0.537756395569	0.553483628994
SZ.SC1	0.633747534858	0.512046792459	0.813515743461	0.440783622468	0.0	0.853795359665	0.574906148509	0.60639623172	0.625398689939	0.682553306711	0.574101163515	0.596026913501
SZ.SC6	0.290676575875	0.569873446384	0.10160641526	0.612480736363	0.853795359665	0.0	0.759393551666	0.715437770662	0.748546244517	0.781551497315	0.768049763713	0.793102644789
SZMB12	0.598031716937	0.45315844066	0.730812804587	0.545726780826	0.574906148509	0.759393551666	0.0	0.239819834565	0.1992122004	0.268181563173	0.216471031498	0.253457805588
SZMB7	0.554315736513	0.432843604872	0.684464262484	0.562020680993	0.60639623172	0.715437770662	0.239819834565	0.0	0.170624754105	0.217887796398	0.248134604566	0.256469384687
SZMB6	0.591562892975	0.45500849898	0.72072438637	0.573028974715	0.625398689939	0.748546244517	0.1992122004	0.170624754105	0.0	0.161074255751	0.240642569418	0.238455061876
SZMB5	0.625893984423	0.516725946406	0.754581442006	0.642519006902	0.682553306711	0.781551497315	0.268181563173	0.217887796398	0.161074255751	0.0	0.300433281649	0.248866745851
SZMB9	0.607793517441	0.469774374225	0.737681196221	0.537756395569	0.574101163515	0.768049763713	0.216471031498	0.248134604566	0.240642569418	0.300433281649	0.0	0.223942825582
SZMB10	0.638844826319	0.496473769463	0.766464115524	0.553483628994	0.596026913501	0.793102644789	0.253457805588	0.256469384687	0.238455061876	0.248866745851	0.223942825582	0.0
