#OTU ID	ERR688806	ERR1368497	ERR1368490	ERR1368496	ERR1368491	ERR1368485	ERR1368516	ERR1368510	ERR1368499	ERR1368498	ERR1368508	ERR1368482	ERR1368479	ERR1368489	ERR1368503	ERR1368494	ERR1368484	ERR1368488	ERR1368502	ERR1368481	ERR1368480	ERR1368518	ERR1368495	ERR576948	ERR1368487	ERR1368492	ERR1368512	ERR1368483	ERR1368507	ERR1368486	ERR1368493	ERR1368500	ERR1368514	ERR1368513	ERR1368504	ERR1368517	ERR1368501	ERR1368511	ERR1368506	SZ.SC3	ERR1368515	ERR1368509	ERR297087	ERR297096	ERR297089	ERR297077	ERR297093	ERR1368505	SZ.SC4	ERR297067	SZ.SC6	SZ.SC1	SZ.SC7	SRR824289	SRR824298	ERR297081	SZ.SC2	SZ.SC5	ERR297106	ERR297107	ERR297079	ERR297080	ERR297101	ERR297073	ERR989657	ERR989668	ERR989660	ERR989659	ERR989664	ERR989663	ERR989661	ERR989662	ERR989658	ERR989665	ERR989667	ERR989666	ERR297086	SRR824296	SRR824286	SRR824294
669005	1	3	0	6	1	3	6	2	1	2	5	0	0	4	9	2	1	2	2	0	0	3	0	16	5	4	0	1	2	2	1	16	3	0	4	0	2	4	4	6	4	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336485	0	3347	1062	2740	3575	664	2717	1614	3256	5330	1363	486	2029	1594	2534	5672	1490	1495	819	1294	820	2969	3788	169	824	2484	2569	639	5409	1296	5997	1439	3173	678	1324	2008	1391	1398	1584	4	1938	705	0	0	0	0	0	858	57	0	2	0	60	0	0	0	294	23	0	0	0	0	0	0	4	1	1	0	1	0	1	2	0	3	0	8	0	0	0	0
2201	0	252	64	298	454	74	63	0	26	259	50	193	51	83	10	207	101	64	0	36	82	5	132	0	161	122	28	114	8	33	76	0	3	12	6	9	215	12	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	3	2	6	1	0	0	0	1	0	0	0	0
165132	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	3	0	0	3	9	0	0	0	0	0
103100	0	523	182	491	484	117	490	4039	2352	448	1903	158	486	332	735	846	134	165	324	78	218	939	565	0	118	316	1311	154	1730	258	734	434	571	549	1202	2234	335	708	1132	0	606	1333	0	0	0	0	0	265	0	0	0	0	9	0	0	0	78	2	0	0	0	0	0	0	2	39	26	5	1	0	1	48	43	15	41	28	0	0	0	0
100850	0	857	491	1325	1461	719	2426	2587	226	971	3578	180	1159	1466	3797	1279	558	548	1056	567	358	1135	1485	1	449	862	1748	375	5695	918	3066	522	650	7491	849	701	255	9223	12841	0	965	2085	0	0	0	0	0	1093	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	65	9	34	8	13	2	4	0	20	2	4	10	0	0	0	0
100123	0	3	2	4	0	6	2	0	6	4	0	8	8	2	0	0	1	1	9	3	5	4	8	1	0	3	0	2	0	0	0	1	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	12	0	1	3	0	0	5	15	0	0	0	0	0
100068	0	0	0	0	3	0	96	117	2481	1	240	0	3	2	53	2	0	1	363	7	13	1	1	0	1	0	206	1	228	0	0	4121	403	119	120	403	326	51	298	0	7	1731	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1000547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	3	2
