#OTU ID	ERR688806	ERR1368497	ERR1368490	ERR1368496	ERR1368491	ERR1368485	ERR1368516	ERR1368510	ERR1368499	ERR1368498	ERR1368508	ERR1368482	ERR1368479	ERR1368489	ERR1368503	ERR1368494	ERR1368484	ERR1368488	ERR1368502	ERR1368481	ERR1368480	ERR1368518	ERR1368495	ERR576948	ERR1368487	ERR1368492	ERR1368512	ERR1368483	ERR1368507	ERR1368486	ERR1368493	ERR1368500	ERR1368514	ERR1368513	ERR1368504	ERR1368517	ERR1368501	ERR1368511	ERR1368506	SZ.SC3	ERR1368515	ERR1368509	ERR297087	ERR297096	ERR297089	ERR297077	ERR297093	ERR1368505	SZ.SC4	ERR297067	SZ.SC6	SZ.SC1	SZ.SC7	SRR824289	SRR824298	ERR297081	SZ.SC2	SZ.SC5	ERR297106	ERR297107	ERR297079	ERR297080	ERR297101	ERR297073	ERR989657	ERR989668	ERR989660	ERR989659	ERR989664	ERR989663	ERR989661	ERR989662	ERR989658	ERR989665	ERR989667	ERR989666	ERR297086	SRR824296	SRR824286	SRR824294
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	20	638	418	838	910	535	497	418	420	755	622	329	481	603	778	783	701	502	424	518	636	508	716	1999	688	1105	430	620	532	606	676	4015	458	281	620	263	341	526	427	494	448	363	0	3	3	18	2	514	811	22	36	35	1058	4	11	3	346	606	1	0	7	3	0	11	40	48	109	33	33	19	22	43	41	24	29	75	0	11	9	26
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	22	24076	9023	24609	25063	11201	27143	22894	30795	25544	23327	7371	15868	15632	17710	26244	9919	9522	17548	11907	14772	22386	26835	1126	10486	17754	27095	9894	25530	10662	29016	24214	20980	17772	14385	18032	12403	27146	34056	348	17578	19591	0	2	0	2	0	10570	1003	2	18	1582	1234	34	110	0	7768	399	1	0	2	0	0	0	985	1289	1496	1309	1063	876	594	1956	2182	813	791	1738	0	481	107	301
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	44	6806	4443	7921	8645	4609	4223	3642	2795	7347	5440	4301	3514	5595	5054	7579	6075	5132	2565	3566	4938	3480	5691	3814	5956	8211	7704	5490	6131	5554	7382	4891	4261	3890	4777	1939	2971	4771	2253	1631	2946	2413	0	1	0	3	0	2783	104	2	72	2584	2297	0	2	0	6423	828	0	0	6	0	0	0	191	204	353	289	289	269	273	343	209	303	329	179	0	1	1	1
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter	0	160	173	417	254	297	536	275	289	358	350	143	312	216	289	164	259	359	355	558	412	835	298	1	222	405	79	285	121	198	96	382	125	100	325	231	367	260	313	192	229	155	0	0	0	0	0	308	4	0	3	181	85	0	0	0	90	13	0	0	0	0	0	0	1	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae	0	0	0	0	0	0	0	0	1	0	0	2	30	0	0	0	0	0	6	29	16	0	9	0	0	0	0	10	0	0	0	0	0	0	1	0	11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__SCA1170	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__chocolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	33	81	49	1351	0	0	48	0	0	0	0	0	10	0	0	28	29	71	15	47	73	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanosphaera	0	1	0	4	0	0	5	0	0	1	0	4	7	1	0	0	0	0	11	8	6	3	6	3	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	7	5	0	0	0	0	0	0	0	1	0	0	363	3	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae]; g__vadinCA11	0	110	29	114	64	57	52	56	13	242	114	88	79	43	114	38	51	52	62	91	115	30	131	77	38	70	115	100	80	31	43	110	56	57	62	62	59	65	37	0	59	104	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	18	48	6	39	0	0	29	37	0	0	0	0	0
k__Archaea; p__Euryarchaeota; c__Methanomicrobia	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Trueperella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
