#OTU ID	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6
10002	2	0	0	0	0	0
1039016	0	0	0	0	0	2
104272	0	0	0	0	2	0
105109	0	0	0	2	0	0
105718	1	0	0	1	0	0
1065569	1	1	0	0	0	0
107005	0	0	0	2	0	0
1074210	0	0	0	2	0	0
107751	0	0	0	0	0	2
1088305	0	0	0	0	0	2
110660	0	0	0	2	0	0
1110317	0	0	0	0	2	0
112382	0	0	2	0	0	0
112764	0	0	0	0	0	2
1131789	0	1	0	0	0	1
114922	0	0	0	0	2	0
130335	0	0	0	2	0	0
137209	0	0	0	0	2	0
138130	0	0	2	0	0	0
138368	0	2	0	0	0	0
140235	0	0	0	0	0	2
147100	0	0	0	2	0	0
1505940	0	0	2	0	0	0
192225	0	2	0	0	0	0
153341	0	0	0	2	0	0
154146	0	0	0	0	2	0
1566691	1	0	0	0	0	1
158211	1	0	0	1	0	0
16030	0	1	1	0	0	0
163857	0	0	0	2	0	0
166235	0	2	0	0	0	0
167646	0	1	0	1	0	0
172202	1	0	1	0	0	0
173792	0	2	0	0	0	0
173876	0	0	0	2	0	0
174184	0	2	0	0	0	0
174365	0	0	0	2	0	0
175967	0	1	0	1	0	0
178478	0	2	0	0	0	0
177179	0	0	0	2	0	0
177697	0	0	0	2	0	0
178213	0	0	0	0	2	0
180563	0	0	0	2	0	0
181702	0	2	0	0	0	0
184320	0	0	0	1	1	0
187297	0	2	0	0	0	0
187569	0	0	0	2	0	0
189205	0	2	0	0	0	0
189624	0	0	0	0	2	0
191201	0	1	0	1	0	0
191109	0	0	0	0	2	0
191837	0	0	0	2	0	0
192015	0	2	0	0	0	0
192370	0	0	1	0	1	0
192437	0	0	0	1	1	0
192676	0	2	0	0	0	0
194177	0	1	0	1	0	0
193895	0	0	0	2	0	0
196215	0	0	0	2	0	0
196753	0	1	0	0	0	1
197324	0	0	0	0	2	0
197099	0	1	0	1	0	0
211795	0	0	0	1	1	0
212359	0	0	0	1	1	0
217060	0	2	0	0	0	0
2190102	0	2	0	0	0	0
222433	2	0	0	0	0	0
230132	1	1	0	0	0	0
235127	0	0	0	0	2	0
250517	0	0	0	0	0	2
254469	2	0	0	0	0	0
255603	0	2	0	0	0	0
262377	0	2	0	0	0	0
262464	0	0	0	0	0	2
26677	0	2	0	0	0	0
2663625	0	2	0	0	0	0
