#OTU ID	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6	SZMB12	SZMB7	SZMB6	SZMB5	SZMB9	SZMB10
3453734	3907	17	734	132	0	7494	0	0	0	0	0	0
299131	23	674	118	191	12	7	16	45	22	27	2	0
297949	0	6	0	0	0	0	0	0	0	0	0	0
1523627	1183	236	1231	346	0	680	0	0	0	0	0	0
1131894	38	16	15	8	1217	0	1	4	3	5	5	2
1110312	0	0	23	9	0	0	1	48	1	0	3	0
1106101	0	0	0	8	0	0	1039	51	46	9	181	450
1105687	0	1	0	4	0	0	0	0	2	4	0	8
1105668	0	2	0	4	0	0	67	1373	19	334	959	23
1070477	0	0	0	0	0	23	0	0	0	0	0	0
100567	0	1	7	1	0	0	670	205	524	1219	87	1
100068	20	1	5	15	0	0	0	0	0	0	0	0
1000113	0	0	0	0	0	0	1	0	1	1	0	0
10002	2	0	0	0	0	0	0	0	0	0	0	0
100198	0	0	0	0	0	0	0	1	0	0	0	3
100506	0	0	0	0	0	0	0	0	1	0	0	0
10085	1	0	0	0	0	0	0	0	0	0	0	0
100744	96	3	4	23	0	1	0	0	0	0	0	0
105099	0	21	18	52	0	0	0	3	19	23	0	1
102159	32	17	93	2	0	1	0	0	0	0	0	0
1010113	0	0	25	2	0	16	0	0	0	0	0	0
101572	0	0	0	0	0	0	1	4	3	1	1	0
101202	0	0	0	1	0	2	0	0	0	0	0	0
1010876	0	0	0	0	0	0	0	0	3	1	0	6
1016598	0	0	0	0	0	0	0	1	0	0	0	1
1017263	0	0	0	0	0	0	3	0	0	0	5	0
1016923	0	0	0	0	0	1	0	0	0	0	0	0
101860	0	0	0	0	0	0	0	1	0	0	0	0
1035392	0	0	0	0	0	0	0	0	1	0	0	0
102471	0	0	0	0	0	0	0	2	0	0	0	0
1023075	0	0	0	1	0	0	0	0	0	0	0	0
1029949	0	0	0	0	0	0	3	7	2	0	0	0
1026524	0	2	0	5	0	0	8	3	24	2	0	0
1034960	2	0	0	0	6	0	0	0	0	1	0	1
103466	0	0	0	1	0	0	0	0	0	0	0	0
1034564	0	0	0	0	0	6	0	0	0	0	0	0
1033018	0	0	1	0	0	0	0	0	0	0	0	0
103975	0	0	0	0	78	0	0	0	0	0	0	147
1039016	0	0	0	0	0	2	0	0	0	0	0	0
1039594	0	0	1	0	0	0	0	0	0	0	0	0
1040172	0	41	6	0	0	0	0	0	12	3	10	0
1047041	3	1	2	2	1	0	0	0	0	0	0	0
104144	1	0	0	0	0	0	0	0	0	0	0	2
1041094	0	0	0	0	0	0	0	1	0	0	0	0
104272	0	0	0	0	2	0	0	0	0	1	0	0
1043045	0	0	0	0	0	1	0	0	0	0	0	0
105028	0	0	0	3	2	0	0	0	0	0	0	0
104752	0	0	0	0	0	0	0	1	0	4	2	0
1067651	0	0	7	0	0	0	0	0	0	0	0	0
106235	0	0	0	0	0	0	0	3	0	0	0	0
105287	0	0	0	0	0	0	3	4	18	7	0	0
105173	0	2	0	1	0	0	0	0	0	0	0	0
10512	0	1	0	4	0	0	0	0	0	0	0	0
105109	0	0	0	2	0	0	0	0	3	6	0	0
105921	0	0	0	0	0	0	0	2	0	1	0	4
105738	0	0	0	1	0	0	0	0	0	0	0	0
1055212	0	0	0	1	0	0	0	0	0	0	0	0
105498	0	0	0	0	0	0	0	0	1	0	0	0
105718	1	0	0	1	0	0	0	0	0	0	0	0
1056816	0	0	0	0	0	0	0	0	1	1	0	0
105659	0	1	0	0	0	0	0	0	0	0	0	0
106019	0	0	5	0	0	9	0	0	0	0	0	0
105964	0	0	0	1	0	0	0	0	0	0	0	0
1067519	1	0	0	0	0	10	0	0	0	0	0	0
106444	2	5	38	10	0	1	0	3	0	0	0	0
106334	2	0	1	8	0	1	0	0	0	0	0	0
1066830	0	8	4	80	0	1	0	0	0	0	0	0
1065569	1	1	0	0	0	0	0	0	0	0	0	0
106928	4	2	15	4	8	0	0	9	1	3	0	0
107005	0	0	0	2	0	0	0	0	0	0	0	0
1069592	0	0	0	0	0	10	0	0	0	0	0	0
1105459	476	210	2555	420	2	2928	0	0	0	0	2	0
110359	0	143	0	0	0	0	0	0	0	0	0	0
110161	0	1	0	0	0	0	446	192	0	11	165	201
1096738	0	0	14	0	0	3	0	0	0	0	0	0
109413	0	0	0	1	0	0	0	0	0	0	0	0
1081222	0	0	4	0	0	10	0	0	0	0	0	0
1076587	0	1	0	0	0	0	69	22	38	9	93	21
1074210	0	0	0	2	0	0	0	0	0	0	0	4
1072513	0	0	0	0	0	0	0	0	1	0	0	0
107379	0	3	0	0	0	0	0	0	0	0	0	0
1076316	0	0	0	0	0	1	0	0	0	0	0	0
107784	0	0	0	0	1	0	0	0	0	0	0	0
107751	0	0	0	0	0	2	0	0	0	0	0	0
1078207	2	3	0	1	1	0	0	0	0	0	0	0
107854	0	0	0	2	3	0	0	0	0	0	0	0
1078373	0	0	0	1	0	0	0	0	0	0	0	0
1084865	3	4	1	2	4	303	0	0	0	0	0	0
1084045	0	37	0	13	0	14	0	0	0	0	0	0
108482	0	0	0	0	0	0	141	10	7	6	46	0
1084417	0	0	0	1	0	0	0	0	0	0	0	0
108916	0	0	4	0	0	10	0	0	0	0	0	0
1086805	0	0	0	0	0	6	0	0	0	0	0	0
1085646	3	0	0	0	0	0	0	0	0	0	0	0
1084900	0	0	0	0	0	0	0	0	0	0	1	0
108598	0	0	0	0	0	1	0	0	0	0	0	0
1088305	0	0	0	0	0	2	0	0	0	0	0	0
1090059	0	0	0	0	0	5	0	0	0	0	0	0
1094991	0	14	11	0	0	0	0	0	0	0	0	0
10945	0	0	0	0	0	0	0	3	0	0	1	0
109414	0	0	0	0	1	0	0	0	0	0	0	0
10960	0	0	0	0	0	0	0	0	0	0	1	0
1097359	1	0	8	5	0	3	0	0	0	0	0	0
109703	0	0	0	0	0	0	1	0	0	0	0	9
109753	0	1	5	12	0	0	5	2	3	2	3	1
109977	0	0	0	0	0	7	0	0	0	0	0	0
109792	0	0	0	0	0	0	0	0	1	0	0	0
1101434	0	0	0	0	0	0	149	0	10	66	0	135
110046	0	0	0	0	0	0	0	3	0	0	0	0
110192	0	2	0	1	0	0	5	9	8	7	9	0
110196	0	0	0	0	0	0	0	1	0	0	0	0
1105328	0	0	0	1	0	0	21	3	6	2	3	76
1105211	1	1	0	2	0	0	0	1	2	2	0	4
1104963	0	0	0	0	0	0	1	0	0	0	0	0
110462	0	0	0	0	0	0	0	0	8	26	0	0
1104733	0	1	8	0	0	1	0	0	0	0	0	0
1104908	0	0	0	0	0	0	0	0	0	3	0	0
1105615	0	0	0	0	0	0	50	0	0	0	37	0
1105552	0	17	0	0	0	0	4	63	143	5	9	10
1105574	1	0	0	0	0	0	0	0	0	0	0	0
1110187	0	0	0	0	0	0	28	114	40	68	54	0
1107175	0	0	0	0	0	0	0	46	29	2	783	339
110660	0	0	0	2	0	0	1	3	0	0	1	1
1106384	36	0	2	0	25	0	0	0	0	0	0	0
1106362	0	0	0	0	1	0	0	0	6	8	15	11
1106302	0	0	0	0	0	0	2	0	0	0	1	0
1106227	0	0	0	0	0	0	0	0	0	0	0	1
1106861	0	0	1	0	0	0	1	3	0	1	0	0
1106654	0	0	0	0	0	0	1	0	0	0	0	0
1107027	2	3	2	0	2	0	0	0	0	0	0	0
1109127	0	0	0	0	0	0	2924	0	35	0	389	0
1108275	0	0	11	0	0	8	0	0	0	0	0	0
110748	0	1	0	0	0	0	0	0	0	0	0	0
1107458	0	0	0	0	0	0	0	0	0	0	0	1
1107335	0	0	0	0	0	10	0	0	0	0	0	0
110858	3	0	0	0	33	0	0	0	2	0	0	0
1108356	0	0	0	0	0	0	0	0	1	0	0	0
110829	1	0	3	4	2	0	1	1	0	1	3	0
1108747	0	0	0	0	0	0	0	0	5	1	0	0
1108638	1	0	0	0	0	0	0	0	0	0	0	0
1110135	2	3	5	0	0	0	7	50	2	1	1	1
1110065	0	0	2	0	0	3	0	0	0	0	0	0
1109709	1	1	0	2	0	1	0	0	0	0	0	0
1109297	0	0	0	0	0	0	0	1	0	0	0	0
111028	0	3	2	2	1	0	9	7	22	23	0	5
1110284	0	0	0	0	0	0	0	0	0	0	0	11
1113587	0	0	0	0	0	0	59	98	109	76	118	177
1111582	37	10	28	29	2	584	0	0	0	0	0	1
1111294	2339	32	94	29	0	6	283	2	0	0	0	0
1110668	6	0	20	42	0	2	134	708	81	12	6	22
1110378	0	0	0	0	5	0	0	0	0	0	0	0
1110317	0	0	0	0	2	0	0	0	0	0	0	0
111066	0	0	0	0	0	0	0	1	0	0	0	0
1111216	0	0	0	0	0	0	0	0	2	0	0	0
111120	0	0	0	0	0	0	0	0	2	0	1	0
1110988	0	0	0	0	0	0	0	0	0	0	0	1
1111350	0	0	0	0	0	0	0	0	5	0	0	0
111344	0	0	0	0	0	0	0	0	31	11	1	0
1112762	0	0	0	4	0	0	32	15	12	7	7	23
1111921	0	0	0	0	0	0	0	66	99	183	0	118
1111782	0	0	0	0	0	0	1	0	0	1	0	0
1111992	0	0	1	0	0	0	0	0	0	0	0	0
1112757	0	0	0	0	0	0	0	0	0	0	0	5
1112763	0	0	0	0	0	0	1	0	1	2	0	0
111325	0	0	0	0	0	0	1	0	0	0	0	0
111313	1	7	2	2	0	3	0	0	0	0	0	0
112374	1	6	1	4	0	0	2	0	4	4	2	0
111455	15	7	61	20	3	7	0	0	0	0	0	0
