#OTU ID	SZMB7	SZ.SC5	SZMB12	SZ.SC2	SZ.SC7	SZMB10	SZMB6	SZ.SC4	SZMB5	SZ.SC6	SZ.SC1	SZMB9
NR_147370.1_Pseudoflavonifractor_phocaeensis_strain_Marseille-P3064_16S_ribosomal_RNA__partial_sequence	1860	0	1522	27	22	382	2052	2	1845	0	4	1075
NR_043443.1_Aerococcus_urinaeequi_strain_IFO12173_16S_ribosomal_RNA_gene__partial_sequence	0	107	0	3	0	0	0	0	0	7	0	0
NR_028865.1_Solibacillus_silvestris_strain_HR3-23_16S_ribosomal_RNA_gene__partial_sequence	0	123	0	528	4907	0	0	8	0	29	0	0
NR_026204.1_{Clostridium}_viride_strain_T2-7_16S_ribosomal_RNA_gene__partial_sequence	64	15	32	7	1	25	46	10	21	0	1	27
NR_025930.1_Ruminococcus_bromii_strain_ATCC_27255_16S_ribosomal_RNA_gene__partial_sequence	42	25	6297	1699	843	6825	6076	10	9887	4	2708	7
NR_025917.1_Acetivibrio_cellulolyticus_strain_CD2_16S_ribosomal_RNA_gene__partial_sequence	1	0	1	0	1	4	4	0	7	0	0	3
NR_025412.1_Acinetobacter_schindleri_strain_LUH5832_16S_ribosomal_RNA_gene__partial_sequence	0	750	0	101	15	0	0	624	0	6546	0	0
NR_025390.1_Parasporobacterium_paucivorans_strain_SYR1_16S_ribosomal_RNA_gene__partial_sequence	276	0	247	5	1	13	24	0	12	0	1	2843
NR_024813.1_Lactobacillus_kitasatonis_strain_JCM_1039_16S_ribosomal_RNA_gene__partial_sequence	2	0	0	416	52	4	0	0	0	1	6451	0
NR_024804.1_Herbaspirillum_chlorophenolicum_strain_CPW301_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	7	0	0	0	1	0	1
NR_024662.1_Pseudomonas_plecoglossicida_strain_FPC951_16S_ribosomal_RNA_gene__partial_sequence	0	273	0	4	0	0	0	0	0	28	0	0
NR_024641.1_Pluralibacter_gergoviae_strain_JCM1234_16S_ribosomal_RNA_gene__partial_sequence	0	21	0	16	2	0	0	10	0	13	0	0
NR_024661.1_Eubacterium_ruminantium_strain_GA195_16S_ribosomal_RNA_gene__partial_sequence	1206	61	30	2	11	5	27	21	19	0	0	81
NR_024644.1_Serratia_rubidaea_strain_JCM1240_16S_ribosomal_RNA_gene__partial_sequence	0	2	0	1	0	0	0	15	0	1	0	0
NR_024709.1_Pseudomonas_hibiscicola_strain_ATCC_19867_16S_ribosomal_RNA_gene__partial_sequence	0	215	0	0	0	0	0	0	0	124	0	0
NR_024664.1_Staphylococcus_arlettae_strain_ATCC_43957_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	49	0	0
NR_024750.1_Coprococcus_catus_strain_VPI-C6-61_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	15	14	19	0	9	21
NR_024719.1_{Clostridium}_hylemonae_strain_TN-272_16S_ribosomal_RNA_gene__partial_sequence	96	1	15	2	3	16	35	0	44	0	1	23
NR_025206.1_Hespellia_porcina_strain_PC80_16S_ribosomal_RNA_gene__partial_sequence	212	7	23	7	1	25	41	0	28	0	4	7
NR_024906.1_Enterococcus_mundtii_strain_ATCC_43186_16S_ribosomal_RNA_gene__partial_sequence	0	35	0	38	11	1	0	46	0	699	3	0
NR_024829.1_{Clostridium}_straminisolvens_strain_CSK1_16S_ribosomal_RNA_gene__partial_sequence	41	1	42	0	1	22	18	0	34	0	0	11
NR_024874.1_Aquabacterium_parvum_strain_B6_16S_ribosomal_RNA_gene__partial_sequence	0	2	0	0	0	0	0	0	0	0	0	0
NR_024835.1_Lactobacillus_manihotivorans_strain_OND_32_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	0	0	0	1	0
NR_024896.1_Mannheimia_glucosida_strain_P925_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	1	0	0	0	0	0	0	0	0
NR_024993.1_{Clostridium}_fimetarium_strain_Z-2189_16S_ribosomal_RNA_gene__partial_sequence	106	2	44	14	25	0	5	13	4	0	0	3
NR_024926.1_Eubacterium_aggregans_strain_SR12_16S_ribosomal_RNA_gene__partial_sequence	3	1	0	0	0	1	0	1	0	0	2	0
NR_024970.1_Azoarcus_toluclasticus_strain_MF63_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	2	0	0	2	0
NR_024972.1_Thauera_chlorobenzoica_strain_3CB-1_16S_ribosomal_RNA_gene__partial_sequence	0	4	0	0	0	0	0	0	0	8	0	0
NR_025025.1_Papillibacter_cinnamivorans_strain_CIN1_16S_ribosomal_RNA_gene__partial_sequence	29	3	48	5	2	28	73	1	92	0	0	20
NR_024994.1_Lactobacillus_mucosae_strain_S32_16S_ribosomal_RNA_gene__complete_sequence	31	4	0	99	244	0	5	142	3	11	188	2
NR_025073.1_Haemophilus_felis_strain_ATCC_49733_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	3	1	0	0	8	0	2	0	0
NR_025029.1_Viridibacillus_neidei_strain_BD-87_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	2	0	0	0	1	0	0	0	0
NR_025108.1_Salinicoccus_alkaliphilus_strain_T8_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	1	0	0
NR_025324.1_Sphingomonas_leidyi_strain_ATCC_15260_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	1	0
NR_025305.1_Stenotrophomonas_nitritireducens_strain_L2_16S_ribosomal_RNA_gene__partial_sequence	0	296	0	0	0	0	0	0	0	21	0	0
NR_025295.1_Aeromonas_salmonicida_subsp._smithia_strain_AS20_1_1_16S_ribosomal_RNA_gene__partial_sequence	0	13	0	8	2	0	0	9	0	25	0	0
NR_025254.1_Alkanindiges_illinoisensis_strain_MVAB_Hex1_16S_ribosomal_RNA_gene__complete_sequence	0	93	0	8	1	0	0	87	0	112	0	0
NR_025228.1_Pseudomonas_koreensis_strain_Ps_9-14_16S_ribosomal_RNA_gene__partial_sequence	0	5	0	0	0	0	0	0	0	2	0	1
NR_025207.1_Hespellia_stercorisuis_strain_PC18_16S_ribosomal_RNA_gene__partial_sequence	6	0	1	0	1	2	2	0	0	0	0	0
NR_025264.1_Bacillus_hwajinpoensis_strain_SW-72_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	3	0	0
NR_025289.1_{Eubacterium}_sulci_strain_ATCC_35585_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	1	0	0	0	0	0	0	0	0
NR_025284.1_Thauera_terpenica_strain_58Eu_16S_ribosomal_RNA_gene__partial_sequence	0	6	0	2	0	0	0	0	0	4	0	0
NR_025300.1_Prevotella_albensis_strain_M384_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	1	0	0	0	0	0	1	0
NR_025330.1_Buttiauxella_gaviniae_strain_S1_1-984_16S_ribosomal_RNA_gene__partial_sequence	0	10	0	0	0	0	0	0	0	10	0	0
NR_025376.1_Comamonas_nitrativorans_strain_23310_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	2	0	0
NR_025409.1_Psychrobacillus_psychrodurans_strain_68E3_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	1	0	0	0	0	0	0	0
NR_025396.1_Aerococcus_sanguinicola_strain_CCUG_43001_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	2	0	0	0	0	0	0	0	0
NR_025651.1_{Clostridium}_lactatifermentans_strain_G17_16S_ribosomal_RNA_gene__partial_sequence	798	0	180	2	5	2	321	0	271	0	0	12
NR_025511.1_Bacillus_luciferensis_strain_LMG_18422_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	3	19	0	0	1	0	3	0	0
NR_025469.1_Planococcus_antarcticus_strain_CMS_26or_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	1	0	0	0	1	0	3	0	0
NR_025437.1_Globicatella_sulfidifaciens_strain_CCUG_44365_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	3	0	0	0	0	0	0	0	0
NR_025500.1_Streptococcus_entericus_strain_CECT_5353_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	1	0
NR_025625.1_Enterococcus_italicus_strain_LMG_21727_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	11	8	0	0	0	0	1	0	0
NR_025567.1_{Clostridium}_bolteae_strain_16351_16S_ribosomal_RNA_gene__partial_sequence	36	7	17	10	0	18	11	14	15	0	1	5
NR_025525.1_Butyrivibrio_hungatei_strain_JK_615_16S_ribosomal_RNA_gene__partial_sequence	1	0	0	0	0	0	0	0	0	0	0	0
NR_025521.1_Actinomyces_cardiffensis_strain_CCUG_44997_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	1	0	0	0	0	0	0	0
NR_025577.1_Thermomonas_fusca_strain_R-10289_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	0	0	0	0	0	0	0	0	0
NR_025569.1_Escherichia_albertii_strain_Albert_19982_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	1	0	0	0	0
NR_025579.1_Lactobacillus_spicheri_strain_LTH_5753_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	1	1	0	0	3	0	0	4	0
NR_025613.1_Arthrobacter_mysorens_strain_DSM_12798_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	6	0	0
NR_025650.1_Anaerobacillus_macyae_strain_JMM-4_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	7	0	0	0	0	12	0	0
NR_025627.1_Viridibacillus_arvi_strain_LMG_22165_16S_ribosomal_RNA_gene__partial_sequence	0	12	0	69	255	0	0	6	0	61	0	0
NR_025632.1_Methylobacterium_hispanicum_strain_GP34_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	2	0
NR_025642.1_Weissella_soli_strain_Mi268_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	8	0	0	0	0	0	0	0	0
NR_025633.1_Actinomyces_dentalis_strain_R18165_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	0	0	0	0	1
NR_025670.1_Pseudoflavonifractor_capillosus_strain_ATCC_29799_16S_ribosomal_RNA_gene__partial_sequence	53	0	59	0	2	23	48	0	36	0	1	27
NR_025904.1_Gemella_morbillorum_strain_2917B_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	2	0	5	0	0	0	0	0	0
NR_025796.1_{Clostridium}_jejuense_strain_HY-35-12_16S_ribosomal_RNA_gene__partial_sequence	3	0	0	0	1	2	1	0	1	0	0	0
NR_025673.1_Schlegelella_thermodepolymerans_strain_K14_16S_ribosomal_RNA_gene__partial_sequence	0	3	0	5	0	0	0	1	0	0	0	0
NR_025753.1_Methylobacillus_pratensis_strain_F31_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	7	0	0
NR_025689.1_Vagococcus_carniphilus_strain_1843-02_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	0	0	0	0	0	0	0	0	0
NR_025862.1_Granulicatella_adiacens_strain_GIFU_12706_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	1	0	0	0	0	0	0	0
NR_025810.1_Chryseobacterium_jeonii_strain_AT1047_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	0	0	0	0	0	0	0	0	0
NR_025863.1_Abiotrophia_defectiva_strain_GIFU_12707_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	1	0	0	1	0	2	0	0
NR_025918.1_Pseudobacteroides_cellulosolvens_strain_ATCC_35603_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	14	0	0	0	0	0	0
NR_026104.1_{Clostridium}_cellobioparum_strain_DSM_1351_16S_ribosomal_RNA_gene__partial_sequence	6	0	11	0	0	10	8	0	35	0	0	3
NR_026100.1_{Clostridium}_celerecrescens_strain_18A_16S_ribosomal_RNA_gene__partial_sequence	43	0	5	1	0	7	19	1	8	0	0	10
NR_026013.1_Clostridium_chauvoei_strain_2585_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	1	2	0	0	0	0	0	0	0
NR_025931.1_Ruminococcus_flavefaciens_strain_C94_16S_ribosomal_RNA_gene__partial_sequence	1073	41	166	245	596	730	1129	0	975	1	2	1
NR_025981.1_Butyrivibrio_fibrisolvens_strain_ATCC_19171_16S_ribosomal_RNA_gene__partial_sequence	0	4	0	29	5	0	0	115	0	2	0	0
NR_025940.1_Helicobacter_acinonychis_strain_Eaton_90-119-3_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	1	0
NR_026099.2_{Clostridium}_aldrichii_strain_P-1_16S_ribosomal_RNA_gene__partial_sequence	0	0	175	0	0	222	12	0	85	0	0	0
NR_026103.1_{Clostridium}_populeti_strain_743A_16S_ribosomal_RNA_gene__partial_sequence	364	0	58	4	0	88	77	0	103	0	0	83
NR_026149.1_Clostridium_quinii_strain_DSM_6736_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	1	1	0	0	0	0	0	0	0
NR_026120.1_Turicella_otitidis_strain_234_92_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	1	0	0	0	0	0	0	0	0
NR_026106.1_{Eubacterium}_cellulosolvens_strain_6_16S_ribosomal_RNA_gene__partial_sequence	0	3	0	7	3	0	0	22	0	0	34	0
NR_026111.1_Phascolarctobacterium_faecium_strain_ACM_3679_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	1
NR_026146.1_Sarcina_ventriculi_strain_DSM_286_16S_ribosomal_RNA_gene__partial_sequence	0	9	0	15	10	1	0	9	1	1	3	0
NR_026130.1_Zoogloea_ramigera_strain_106_16S_ribosomal_RNA_gene__complete_sequence	0	2	0	0	0	1	0	0	0	0	0	0
NR_026147.1_Sarcina_maxima_strain_DSM_316_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	42
NR_026151.1_{Clostridium}_colinum_strain_DSM_6011_16S_ribosomal_RNA_gene__partial_sequence	52	0	15	0	1	1	0	0	0	0	0	0
NR_026179.1_Clostridium_acetireducens_strain_30A_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	1	0	0	0
NR_026208.1_Acinetobacter_junii_strain_DSM_6964_16S_ribosomal_RNA_gene__partial_sequence	0	2023	0	839	63	0	0	27500	0	1442	0	1
NR_026207.1_Acinetobacter_haemolyticus_strain_DSM_6962_16S_ribosomal_RNA_gene__partial_sequence	0	98	0	1	0	0	0	0	0	10	0	1
NR_026206.1_Acinetobacter_baumannii_strain_DSM_30007_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	0	0	0	0	3	0	17	0	0
NR_026205.1_Succiniclasticum_ruminis_strain_SE10_16S_ribosomal_RNA_gene__partial_sequence	0	3	0	0	0	0	0	0	0	0	0	0
NR_028726.1_{Clostridium}_algidixylanolyticum_strain_SPL73_16S_ribosomal_RNA_gene__partial_sequence	1800	1	826	3	4	1508	1654	0	1532	0	0	170
NR_027579.1_Ruminococcus_lactaris_strain_ATCC_29176_16S_ribosomal_RNA_gene__partial_sequence	148	147	15	209	472	19	87	340	98	59	950	14
NR_026312.1_Blautia_schinkii_strain_B_16S_ribosomal_RNA_gene__complete_sequence	64	57	37	27	37	91	212	11	211	1	5	24
NR_026209.1_Acinetobacter_lwoffii_strain_DSM_2403_16S_ribosomal_RNA_gene__partial_sequence	0	3707	0	723	91	0	0	79	0	6566	0	0
NR_026229.1_Dialister_pneumosintes_strain_ATCC_33048_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	1	0
NR_026210.1_Acinetobacter_radioresistens_strain_FO-1_16S_ribosomal_RNA_gene__complete_sequence	0	19	0	0	1	0	0	0	0	13	0	0
NR_026228.1_Actinomyces_viscosus_strain_NCTC_10951_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	1	0
NR_026242.1_Bacteroides_caccae_strain_ATCC_43185_16S_ribosomal_RNA_gene__partial_sequence	0	0	1	0	0	0	0	0	0	0	0	0
NR_026493.1_{Clostridium}_indolis_strain_7_16S_ribosomal_RNA_gene__partial_sequence	7	0	0	1	0	2	0	0	2	0	0	1
NR_026476.1_Succinivibrio_dextrinosolvens_strain_0554_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	2	0	0	0	0	0	0	0	0
NR_026332.1_Shigella_dysenteriae_strain_ATCC_13313_16S_ribosomal_RNA_gene__partial_sequence	0	3	16	0	3	0	0	89	0	0	0	0
NR_026314.1_Blautia_hydrogenotrophica_strain_S5a36_16S_ribosomal_RNA_gene__partial_sequence	3	0	4	0	0	0	8	0	2	0	0	0
NR_026322.1_Clostridium_pascui_strain_DSM_10365_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	2	0	0	0	2	0	0	0	0
NR_026315.1_Pseudobutyrivibrio_ruminis_strain_DSM_9787_16S_ribosomal_RNA_gene__partial_sequence	4	0	3	0	0	0	0	0	0	0	0	4
NR_026438.1_Azoarcus_anaerobius_strain_LuFres1_16S_ribosomal_RNA_gene__complete_sequence	0	9	0	4	45	0	12	0	3	0	0	10
NR_026352.1_Thermobrachium_celere_strain_NZ35_16S_ribosomal_RNA_gene__partial_sequence	0	0	1	0	0	0	0	0	0	0	0	0
NR_026394.1_Corynebacterium_singulare_strain_IBS_B52218_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	2	0	0
NR_026393.1_Facklamia_hominis_strain_ATCC_700628_16S_ribosomal_RNA_gene__complete_sequence	0	1	0	0	1	0	0	0	0	0	0	0
NR_026411.1_Desulfosporosinus_orientis_strain_DSM_765_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	1	0	0	0	0	0	0	0
NR_026454.1_Granulicatella_balaenopterae_strain_M1975_96_1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	6	4	0	0	1	0	0	0	0
NR_026463.1_Rhizobium_undicola_strain_ORS_992_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	0	0	0	0	0	0	0	0	0
NR_026467.1_Vagococcus_lutrae_strain_m1134_97_1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	1	0	0	0	0	0	0	0
NR_026490.1_Clostridium_sartagoforme_strain_DSM_1292_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	8	2	0	0	0	0	0	0	0
NR_026489.1_Vagococcus_fluvialis_strain_M-29c_16S_ribosomal_RNA_gene__partial_sequence	0	14	0	0	1	0	0	0	0	2	0	0
NR_026481.1_Eremococcus_coleocola_strain_M1832_95_2_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	2	0	0
NR_026482.1_Facklamia_tabacinasalis_strain_GF112B_16S_ribosomal_RNA_gene__partial_sequence	0	2	0	0	0	0	0	0	0	0	0	0
NR_027558.1_Anaerotruncus_colihominis_strain_WAL_14565_16S_ribosomal_RNA_gene__partial_sequence	21	0	17	0	0	5	24	0	7	0	1	25
NR_027203.1_Mogibacterium_neglectum_strain_P9a-h_16S_ribosomal_RNA_gene__partial_sequence	70	17	6	37	30	2	35	1	25	0	60	1
NR_026515.1_Aeribacillus_pallidus_strain_DSM_3670_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	2
NR_026506.1_Acidovorax_defluvii_strain_BSB411_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	1	0	0	0	0	0
NR_027211.1_Thauera_aminoaromatica_strain_S2_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	1	0	0
NR_027526.1_Catenibacterium_mitsuokai_strain_DSM_15897_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	1	2	0	0	2	0	0	1	0
