#OTU ID	SZ.SC1	SZ.SC5	SZ.SC4	SZ.SC2	SZ.SC7	SZMB6	SZMB10	SZMB7	SZMB5	SZMB9	SZMB12	SZ.SC6
NC_034925_1_Phoebe_chekiangensis_chloroplast__complete_genome	600	0	0	0	3	0	0	0	0	0	0	0
NC_030601_1_Erythroxylum_novogranatense_chloroplast__complete_genome	19	0	1	0	0	0	0	0	0	0	0	0
NC_008325_1_Daucus_carota_chloroplast__complete_genome	65	0	1	0	0	0	0	0	0	0	0	0
NC_002694_1_Lotus_japonicus_chloroplast__complete_genome	5	0	0	0	0	0	0	0	0	0	0	0
NC_025651_1_Orobanche_californica_chloroplast_complete_genome__specimen_voucher_PAC-S_Wicke_Oc54	158	1	10	1	3	0	0	1	2	0	0	0
NC_023360_1_Silene_paradoxa_chloroplast__complete_genome	3	0	0	0	0	0	0	0	0	0	0	0
NC_023359_1_Silene_chalcedonica_chloroplast__complete_genome	0	1	0	0	0	0	0	0	0	0	0	0
NC_028067_1_Euonymus_japonicus_voucher_YNUH_DD_001_chloroplast__complete_genome	3	0	0	2	0	0	0	0	0	0	0	0
NC_027161_1_Fagopyrum_tataricum_strain_Daegwan3-3_chloroplast__complete_genome	5	0	0	0	0	0	0	0	0	0	0	0
NC_030504_1_Liriodendron_chinense_chloroplast__complete_genome	10	0	0	0	0	0	0	0	0	0	0	0
NC_029433_1_Pachysandra_terminalis_chloroplast__complete_genome	5	0	0	0	0	0	0	0	0	0	0	0
NC_029889_1_Carum_carvi_chloroplast__complete_genome	0	1	0	0	0	0	0	0	0	0	0	0
NC_030575_1_Licania_tomentosa_chloroplast__complete_genome	1	0	0	0	0	0	0	0	0	0	0	0
NC_032687_1_Glycosmis_pentaphylla_chloroplast__complete_genome	8	6	10	0	0	0	0	0	0	0	0	0
NC_031155_1_Swertia_mussotii_chloroplast__complete_genome	0	0	1	1	0	0	0	0	0	0	0	0
NC_033874_1_Huperzia_serrata_chloroplast__complete_genome	2	0	1	0	0	0	0	0	0	0	0	0
NC_033399_1_Gossypium_nelsonii_chloroplast__complete_genome	0	0	1	0	0	0	0	1	0	0	0	0
NC_034801_1_Plinia_trunciflora_chloroplast__complete_genome	53	46	25	7	12	2	0	0	2	1	0	0
NC_034379_1_Arabidopsis_lyrata_subsp__lyrata_chloroplast_DNA__complete_genome__strain-_MN47	0	0	0	0	0	1	0	0	0	0	0	0
NC_034315_1_Cyclocarya_paliurus_chloroplast__complete_genome	1	0	1	0	0	0	0	0	0	0	0	0
NC_034867_1_Diplostephium_gnidioides_voucher_HUSA-Vargas_430_chloroplast__complete_genome	0	0	0	1	0	0	0	0	0	0	0	0
NC_034909_1_Pyrus_pashia_voucher_PPASH20160703_chloroplast__complete_genome	4	0	2	0	0	0	0	0	0	0	0	0
NC_035056_1_Hansenia_forrestii_chloroplast__complete_genome	245	69	210	97	63	0	2	2	0	2	1	1
NC_034991_1_Pithecellobium_flexicaule_chloroplast__complete_genome	416	0	1	0	2	2	2	3	3	5	1	0
NC_034987_1_Albizia_odoratissima_chloroplast__complete_genome	7	0	2	0	0	0	0	0	0	0	0	0
NC_034935_1_Hydrangea_petiolaris_chloroplast__complete_genome	1	0	1	0	0	0	0	0	0	0	0	0
NC_035140_1_Cistanthe_longiscapa_chloroplast__complete_genome	1	0	0	0	0	0	0	0	0	0	0	0
